code,name,price
sh600036,招商银行,39.34
sz000001,平安银行,11.24
sz000002,万  科Ａ,3.16
sz002594,比亚迪,91.6
sh601318,中国平安,54.01
sh600519,贵州茅台,1291.91
sh600036,招商银行,39.34
sh601398,工商银行,7.78
sh601288,农业银行,6.8
sh601988,中国银行,6.29
sh601939,建设银行,10.7
sh600000,浦发银行,9.67
sz000858,五 粮 液,79.92
sh600276,恒瑞医药,48.49
sz300750,宁德时代,394.85
sz002415,海康威视,30.24
sh600887,伊利股份,25.71
sh601166,XD兴业银,18.61
sz000333,美的集团,83.23
sz000651,格力电器,38.53
sh600030,中信证券,26.29
sh600031,三一重工,18.91
sh601668,中国建筑,4.77
sh601857,中国石油,10.38
sh600028,中国石化,4.94
sh601628,中国人寿,35.81
sh601012,隆基绿能,13.46
sz002475,立讯精密,63.76
sz300059,东方财富,18.0
sz002230,科大讯飞,40.39
sh600009,上海机场,24.28
sh600104,上汽集团,10.92
sh601888,中国中免,58.49
sh603259,药明康德,99.71
sh600585,海螺水泥,18.71
sh600690,海尔智家,21.13
sz000725,京东方Ａ,5.57
sz002304,洋河股份,43.0
sh601088,中国神华,46.14
sh600196,复星医药,22.36
